"","NAME","Median Family Income","Total Population","Year","State"
"120","Iowa",64772,2948220,2012,"IA"
"121","Kansas",64731,2771928,2012,"KS"
"122","Kentucky",53833,4214511,2012,"KY"
"123","Louisiana",56047,4402312,2012,"LA"
"124","Maine",60408,1293440,2012,"ME"
"125","Maryland",88092,5645634,2012,"MD"
"126","Massachusetts",84380,6316953,2012,"MA"
"127","Michigan",60749,9667270,2012,"MI"
"128","Minnesota",74032,5177138,2012,"MN"
"129","Mississippi",48300,2874898,2012,"MS"
"130","Missouri",59395,5808612,2012,"MO"
"131","Montana",58951,962040,2012,"MT"
"132","Nebraska",64820,1776057,2012,"NE"
"133","Nevada",62789,2668131,2012,"NV"
"134","New Hampshire",79488,1277491,2012,"NH"
"135","New Jersey",87389,8606711,2012,"NJ"
"136","New Mexico",54221,2012699,2012,"NM"
"137","New York",69968,18810163,2012,"NY"
"138","North Carolina",57146,9286780,2012,"NC"
"139","North Dakota",68293,651023,2012,"ND"
"140","Ohio",61163,11226654,2012,"OH"
"141","Oklahoma",56068,3638185,2012,"OK"
"142","Oregon",61438,3750575,2012,"OR"
"143","Pennsylvania",65980,12271822,2012,"PA"
"144","Rhode Island",72872,1009824,2012,"RI"
"145","South Carolina",55058,4490811,2012,"SC"
"146","South Dakota",62967,782064,2012,"SD"
"147","Tennessee",54737,6200650,2012,"TN"
"148","Texas",60621,24625722,2012,"TX"
"149","Utah",66014,2720508,2012,"UT"
"150","Vermont",67274,600360,2012,"VT"
"151","Virginia",76566,7773620,2012,"VA"
"152","Washington",71939,6598031,2012,"WA"
"153","West Virginia",51770,1801372,2012,"WV"
"154","Wisconsin",66415,5537612,2012,"WI"
"155","Wyoming",70013,549070,2012,"WY"
"156","Puerto Rico",22801,3678464,2012,NA
"157","Alabama",54362,4683880,2013,"AL"
"158","Alaska",82870,693856,2013,"AK"
"159","Arizona",58897,6335998,2013,"AZ"
"160","Arkansas",50759,2852772,2013,"AR"
"161","California",69661,36843355,2013,"CA"
"162","Colorado",72687,5002024,2013,"CO"
"163","Connecticut",87245,3464102,2013,"CT"
"164","Delaware",71811,883681,2013,"DE"
"165","District of Columbia",79665,579281,2013,NA
"166","Florida",56738,18666285,2013,"FL"
"167","Georgia",58755,9550824,2013,"GA"
"168","Hawaii",79963,1333167,2013,"HI"
"169","Idaho",55905,1554097,2013,"ID"
"170","Illinois",70344,12547643,2013,"IL"
"171","Indiana",59911,6327145,2013,"IN"
"172","Iowa",65802,2963009,2013,"IA"
"173","Kansas",65069,2788981,2013,"KS"
"174","Kentucky",54279,4235109,2013,"KY"
"175","Louisiana",56288,4440185,2013,"LA"
"176","Maine",61107,1292726,2013,"ME"
"177","Maryland",88738,5694032,2013,"MD"
"178","Massachusetts",84900,6359763,2013,"MA"
"179","Michigan",60793,9658274,2013,"MI"
"180","Minnesota",74683,5211939,2013,"MN"
"181","Mississippi",48471,2883757,2013,"MS"
"182","Missouri",59527,5833105,2013,"MO"
"183","Montana",59743,969761,2013,"MT"
"184","Nebraska",65328,1790194,2013,"NE"
"185","Nevada",61359,2693904,2013,"NV"
"186","New Hampshire",79886,1278723,2013,"NH"
"187","New Jersey",87347,8645670,2013,"NJ"
"188","New Mexico",54513,2026860,2013,"NM"
"189","New York",70670,18901364,2013,"NY"
"190","North Carolina",56928,9395519,2013,"NC"
"191","North Dakota",70767,664047,2013,"ND"
"192","Ohio",61371,11237268,2013,"OH"
"193","Oklahoma",56464,3675359,2013,"OK"
"194","Oregon",61609,3781602,2013,"OR"
"195","Pennsylvania",66646,12302669,2013,"PA"
"196","Rhode Island",72717,1009708,2013,"RI"
"197","South Carolina",55058,4540383,2013,"SC"
"198","South Dakota",63195,791231,2013,"SD"
"199","Tennessee",54779,6249085,2013,"TN"
"200","Texas",61066,25053229,2013,"TX"
"201","Utah",66646,2767206,2013,"UT"
"202","Vermont",68111,600630,2013,"VT"
"203","Virginia",76754,7859322,2013,"VA"
"204","Washington",72168,6678662,2013,"WA"
"205","West Virginia",52165,1804114,2013,"WV"
"206","Wisconsin",66534,5557806,2013,"WI"
"207","Wyoming",70868,556247,2013,"WY"
"208","Puerto Rico",23018,3644392,2013,NA
"209","Alabama",54724,4701072,2014,"AL"
"210","Alaska",83714,701193,2014,"AK"
"211","Arizona",59088,6413649,2014,"AZ"
"212","Arkansas",51464,2865686,2014,"AR"
"213","California",70187,37251410,2014,"CA"
"214","Colorado",73817,5079689,2014,"CO"
"215","Connecticut",88217,3472533,2014,"CT"
"216","Delaware",72683,892045,2014,"DE"
"217","District of Columbia",82791,593525,2014,NA
"218","Florida",57176,18932457,2014,"FL"
"219","Georgia",59068,9646660,2014,"GA"
"220","Hawaii",80371,1348972,2014,"HI"
"221","Idaho",56922,1570078,2014,"ID"
"222","Illinois",70967,12568247,2014,"IL"
"223","Indiana",60440,6353911,2014,"IN"
"224","Iowa",66829,2978349,2014,"IA"
"225","Kansas",65804,2803825,2014,"KS"
"226","Kentucky",54928,4253419,2014,"KY"
"227","Louisiana",56755,4472827,2014,"LA"
"228","Maine",61824,1292950,2014,"ME"
"229","Maryland",89416,5747580,2014,"MD"
"230","Massachusetts",86132,6409981,2014,"MA"
"231","Michigan",61684,9661765,2014,"MI"
"232","Minnesota",76190,5248168,2014,"MN"
"233","Mississippi",49125,2889499,2014,"MS"
"234","Missouri",60414,5853793,2014,"MO"
"235","Montana",60581,977533,2014,"MT"
"236","Nebraska",66188,1804020,2014,"NE"
"237","Nevada",61081,2725162,2014,"NV"
"238","New Hampshire",80812,1280629,2014,"NH"
"239","New Jersey",87999,8687835,2014,"NJ"
"240","New Mexico",54801,2037138,2014,"NM"
"241","New York",71419,19011066,2014,"NY"
"242","North Carolina",57328,9495510,2014,"NC"
"243","North Dakota",72770,678761,2014,"ND"
"244","Ohio",62104,11250441,2014,"OH"
"245","Oklahoma",57299,3708737,2014,"OK"
"246","Oregon",61890,3813328,2014,"OR"
"247","Pennsylvania",67521,12329406,2014,"PA"
"248","Rhode Island",73217,1011282,2014,"RI"
"249","South Carolina",55506,4589260,2014,"SC"
